year,reporter,partner,commodity_code,section_code,trade_value_usd_exp,trade_value_usd_imp
2018,Argentina,Mexico,283630,06,0,117963
2019,Argentina,Mexico,283630,06,0,106363
2020,Argentina,Mexico,283630,06,0,117836
2020,Argentina,Mexico,283650,06,0,9417
2017,Argentina,Mexico,283692,06,74908,0
2017,Argentina,Mexico,283699,06,0,443
2017,Argentina,Mexico,284020,06,19450,26910
2017,Argentina,Mexico,284130,06,730567,0
2017,Argentina,Mexico,284150,06,0,287
2017,Argentina,Mexico,284190,06,0,29371
2018,Argentina,Mexico,284190,06,0,30559
2019,Argentina,Mexico,284190,06,0,2606
2019,Argentina,Mexico,284290,06,0,1464
2017,Argentina,Mexico,284321,06,0,3666
2018,Argentina,Mexico,284321,06,0,70
2019,Argentina,Mexico,284321,06,0,1465
2020,Argentina,Mexico,284321,06,0,339
2018,Argentina,Mexico,284329,06,0,72
2017,Argentina,Mexico,284410,06,3435,0
2017,Argentina,Mexico,284430,06,3975,0
2017,Argentina,Mexico,284440,06,517,0
2017,Argentina,Mexico,284700,06,0,48
2018,Argentina,Mexico,284700,06,0,70
2019,Argentina,Mexico,284700,06,0,35
2020,Argentina,Mexico,284700,06,0,49
2018,Argentina,Mexico,284800,06,0,4298
2019,Argentina,Mexico,284800,06,0,2081
2020,Argentina,Mexico,284800,06,0,1314
